,Source,Target,Value
0,Čech,1J 5:6,10
1,Čech,Mt 5:38,10
5,Čech,L 4:4,3
6,Čech,L 3:4,11
7,Čech,Mk 1:3,20
8,Čech,J 1:1,7
10,Čech,R 13:11,4
11,Čech,Mt 28:20,15
12,Čech,Mt 5:3,10
15,Čech,Mt 5:7,5
20,Čech,J 10:16,18
32,Čech,L 10:27,3
33,Čech,L 21:6,8
34,Čech,Mt 6:33,15
35,Čech,1K 15:55,6
36,Čech,Ex 20:13/Dt 5:17,36
39,Čech,L 23:34,14
44,Čech,Mt 22:39,12
45,Čech,J 10:11,18
46,Čech,L 2:14,53
51,Čech,Mt 4:4,9
53,Čech,Mt 11:28,22
59,Čech,Mt 6:12,6
60,Čech,Mt 6:11/L 11:3,14
61,Čech,Ex 20:15/Dt 5:19,16
66,Čech,Ef 6:2,11
67,Čech,J 1:14,8
68,Čech,Gn 3:19,12
69,Čech,Mt 22:21,7
70,Čech,Mt 7:21,7
71,Čech,R 9:30,12
72,Čech,Pr 26:27,7
74,Čech,Mt 16:24,7
80,Čech,J 11:25,12
83,Čech,Mt 8:25,7
85,Čech,Mt 16:18,39
89,Čech,Mt 6:9,4
92,Čech,2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,6
93,Čech,Zj 14:13,4
103,Čech,Mt 11:29,12
106,Čech,J 1:29,7
107,Čech,Mk 15:34,5
108,Čech,Mt 27:46,5
109,Čech,Mt 18:7,4
112,Čech,1K 15:20,7
114,Čech,Mt 12:45,4
115,Čech,Mt 6:10,18
122,Čech,1P 3:18,3
123,Čech,R 4:21,3
129,Čech,Mk 10:9,3
130,Čech,Gn 3:5,4
131,Čech,J 14:6,23
141,Čech,J 3:15,9
145,Čech,Mt 6:13,4
148,Čech,J 8:46,5
152,Čech,Mk 10:48,5
153,Čech,Mt 19:19,9
154,Čech,Ex 20:14/Dt 5:18,5
155,Čech,L 18:42,5
167,Čech,L 2:10,10
169,Čech,Mt 10:33,7
170,Čech,Mt 23:9,6
171,Čech,L 20:25,21
172,Čech,Mk 13:31/Mt 24:35/L 21:33,11
173,Čech,Mt 20:16,5
176,Čech,L 6:27,3
181,Čech,Mt 16:16,6
182,Čech,Z 117:26,5
185,Čech,Mt 19:18,5
188,Čech,Z 118:24,4
194,Čech,Iz 45:8,5
196,Čech,Mt 25:21,5
197,Čech,Mt 25:23,5
204,Čech,Mt 12:7,4
206,Čech,Jb 19:21,3
207,Čech,Mt 5:8,6
211,Čech,2Tm 4:7,4
219,Čech,J 10:30,6
228,Čech,Da 4:28,4
243,Čech,L 2:11,5
246,Čech,Mk 14:38,3
251,Čech,Mt 5:20,13
260,Čech,Mt 11:5,3
265,Čech,L 18:20,3
277,Československý zemědělec,Mt 20:16,3
278,Československý zemědělec,Mt 6:11/L 11:3,5
279,Československý zemědělec,Ex 20:13/Dt 5:17,7
280,Český učitel,L 6:27,4
283,Český učitel,L 18:42,3
284,Český učitel,L 20:25,3
